LONGITUDE,LATITUDE,VALUE
168,-28.549190000000003,0.43443538
176,-28.549190000000003,0.343889061
-176,-38.20473,0.279715454
-168,-38.20473,0.22500609
-160,-38.20473,0.223502232
-152,-38.20473,0.213677454
-144,-38.20473,0.206880865
-136,-38.20473,0.198380356
-128,-38.20473,0.19367942100000002
-120,-38.20473,0.17572276899999997
-112,-38.20473,0.18805834899999999
-104,-38.20473,0.185656538
-96,-38.20473,0.188843421
-88,-38.20473,0.196112741
-80,-38.20473,0.217277899
-72,-38.20473,0.203506048
-64,-38.20473,0.20322720100000002
-56,-38.20473,0.319096413
-48,-38.20473,0.374362176
-40,-38.20473,0.274271051
-32,-38.20473,0.25049245600000003
-24,-38.20473,0.22986458
-16,-38.20473,0.25728849800000003
-8,-38.20473,0.264581685
0,-38.20473,0.296392069
8,-38.20473,0.347388509
16,-38.20473,0.47455378299999995
24,-38.20473,0.491046983
32,-38.20473,0.40749507100000004
40,-38.20473,0.31928788
48,-38.20473,0.305007097
56,-38.20473,0.280018342
64,-38.20473,0.268748745
72,-38.20473,0.262515629
80,-38.20473,0.25654151199999997
88,-38.20473,0.245545823
96,-38.20473,0.247945483
104,-38.20473,0.272345006
112,-38.20473,0.45225245399999997
120,-38.20473,0.361527011
128,-38.20473,0.320327646
136,-38.20473,0.359161315
144,-38.20473,0.357791099
152,-38.20473,0.5083978379999999
160,-38.20473,0.314412189
168,-38.20473,0.364225103
176,-38.20473,0.37263672
-176,-49.46882,0.195627826
-168,-49.46882,0.149031215
-160,-49.46882,0.144293633
-152,-49.46882,0.137726407
-144,-49.46882,0.13739090699999998
-136,-49.46882,0.15282364699999998
-128,-49.46882,0.152984985
-120,-49.46882,0.131517053
-112,-49.46882,0.140469056
-104,-49.46882,0.131310283
-96,-49.46882,0.130591755
-88,-49.46882,0.13844282300000002
-80,-49.46882,0.17904309899999998
-72,-49.46882,0.20321946899999999
-64,-49.46882,0.214417639
-56,-49.46882,0.22562064399999998
-48,-49.46882,0.20103294100000002
-40,-49.46882,0.20747469899999998
-32,-49.46882,0.19483411
-24,-49.46882,0.18462270600000003
-16,-49.46882,0.173467558
-8,-49.46882,0.17031174
0,-49.46882,0.213966157
8,-49.46882,0.21589180100000002
16,-49.46882,0.193621763
24,-49.46882,0.200384681
32,-49.46882,0.223260978
40,-49.46882,0.212972343
48,-49.46882,0.203188607
56,-49.46882,0.196546296
64,-49.46882,0.19654514399999998
72,-49.46882,0.195341178
80,-49.46882,0.186947482
88,-49.46882,0.173132504
96,-49.46882,0.18477786300000001
104,-49.46882,0.17992567199999998
112,-49.46882,0.18012751899999999
120,-49.46882,0.18704341100000002
128,-49.46882,0.19207239199999998
136,-49.46882,0.205484995
144,-49.46882,0.325689684
152,-49.46882,0.313774277
160,-49.46882,0.258618937
168,-49.46882,0.277502292
176,-49.46882,0.266286655
-176,-65.22635,0.138227512
-168,-65.22635,0.132006208
-160,-65.22635,0.129202751
-152,-65.22635,0.135651736
-144,-65.22635,0.136532764
-136,-65.22635,0.136277895
-128,-65.22635,0.137526813
-120,-65.22635,0.140281243
-112,-65.22635,0.14247456
-104,-65.22635,0.141294471
-96,-65.22635,0.147932639
-88,-65.22635,0.150792179
-80,-65.22635,0.15494771300000001
-72,-65.22635,0.192806548
-64,-65.22635,0.18727659800000002
-56,-65.22635,0.166976285
-48,-65.22635,0.15290904800000002
-40,-65.22635,0.148195658
-32,-65.22635,0.140568537
-24,-65.22635,0.136867759
-16,-65.22635,0.145286869
-8,-65.22635,0.138029584
0,-65.22635,0.136606911
8,-65.22635,0.132692525
16,-65.22635,0.132457741
24,-65.22635,0.12912253099999998
32,-65.22635,0.126732227
40,-65.22635,0.12430286900000001
48,-65.22635,0.124156255
56,-65.22635,0.12114865699999999
64,-65.22635,0.12155950900000001
72,-65.22635,0.120112675
80,-65.22635,0.12363520800000001
88,-65.22635,0.12621041
96,-65.22635,0.126575353
104,-65.22635,0.13004257
112,-65.22635,0.13122097300000002
120,-65.22635,0.12909183800000001
128,-65.22635,0.130320727
136,-65.22635,0.134372777
144,-65.22635,0.139214115
152,-65.22635,0.140157848
160,-65.22635,0.147770061
168,-65.22635,0.143061
176,-65.22635,0.13853032
104,69.98829,0.04597625599999999
-120,51.743159999999996,0.201303347
-112,51.743159999999996,0.0
-104,51.743159999999996,0.0
-96,51.743159999999996,0.043927562
-72,51.743159999999996,0.109986381
24,51.743159999999996,0.068507012
32,51.743159999999996,0.0
40,51.743159999999996,0.0
48,51.743159999999996,0.0
56,51.743159999999996,0.0
64,51.743159999999996,0.0
72,51.743159999999996,0.0
80,51.743159999999996,0.0
88,51.743159999999996,0.0
96,51.743159999999996,0.0
104,51.743159999999996,0.0
112,51.743159999999996,0.0
120,51.743159999999996,0.0
128,51.743159999999996,0.0
-112,40.03754,0.0
-104,40.03754,0.0
-96,40.03754,0.0
-88,40.03754,0.013986014
32,40.03754,0.0
40,40.03754,0.0
48,40.03754,0.0
56,40.03754,0.0
64,40.03754,0.0
72,40.03754,0.0
80,40.03754,0.0
88,40.03754,0.0
96,40.03754,0.0
104,40.03754,0.0
112,40.03754,0.0
-104,30.1738,0.0
0,30.1738,0.0
8,30.1738,0.256312305
40,30.1738,0.269464186
64,30.1738,0.186351342
72,30.1738,0.000131718
80,30.1738,0.0
88,30.1738,0.0
96,30.1738,0.0
104,30.1738,0.0
112,30.1738,0.0
-8,21.24611,0.0
0,21.24611,0.0
8,21.24611,0.0
16,21.24611,0.0
24,21.24611,0.0
32,21.24611,0.263033962
48,21.24611,0.245735521
80,21.24611,0.32988628
-8,12.84422,0.0
0,12.84422,0.0
8,12.84422,0.0
16,12.84422,0.0
24,12.84422,0.0
32,12.84422,0.0
-72,4.72115,0.0
-64,4.72115,0.25681276
16,4.72115,0.0
24,4.72115,0.0
32,4.72115,0.0
40,4.72115,0.256530068
-72,-3.3057,0.0
-64,-3.3057,0.0
-56,-3.3057,0.0
16,-3.3057,0.255606334
24,-3.3057,0.0
32,-3.3057,0.0
-72,-11.3996,0.220216737
-64,-11.3996,0.0
-56,-11.3996,0.0
-48,-11.3996,0.0
24,-11.3996,0.0
32,-11.3996,0.0
-64,-19.73712,0.0
-56,-19.73712,0.0
-48,-19.73712,0.27516425899999997
24,-19.73712,0.0
32,-19.73712,0.407393285
128,-19.73712,0.308481717
136,-19.73712,0.268959524
-64,-28.549190000000003,0.0
-56,-28.549190000000003,0.271937671
24,-28.549190000000003,0.288731452
120,-28.549190000000003,0.0
136,-28.549190000000003,0.296925595
144,-28.549190000000003,0.0
