"GRIDCODE,N,10,0","X_COORD,N,18,5","Y_COORD,N,18,5","AllTaxa,N,19,11","AllNorm,N,19,11","CoastNorm,N,19,11","OceanNorm,N,19,11"
52,-128,51.74316,362.225,0.241593573,0.151333024,0.346897547
57,-88,51.74316,72.7317266859,0.053692458,0.046081887,0.062571457
58,-80,51.74316,91.9353050589,0.061856898,0.069345294,0.053120437
60,-64,51.74316,232.651661458,0.205308768,0.137500246,0.28441871
61,-56,51.74316,214.6818182,0.236306475,0.140455663,0.348132423
62,-48,51.74316,79.2,0.24418923,0.11413745,0.395916306
63,-40,51.74316,82,0.242403964,0.088274028,0.422222222
64,-32,51.74316,87.3087667909,0.238514244,0.058634223,0.448374268
65,-24,51.74316,93.83333333,0.239713919,0.034183673,0.479499204
66,-16,51.74316,117.66666667,0.283428324,0.098940345,0.498664299
67,-8,51.74316,339.524910564,0.325517961,0.187787869,0.486203068
68,0,51.74316,292.368310843,0.280437736,0.175183905,0.403233872
69,8,51.74316,237.909987998,0.191532834,0.12520922,0.268910384
70,16,51.74316,222.517824094,0.216635787,0.171518919,0.269272134
85,136,51.74316,165.455823555,0.194514603,0.174288711,0.218111478
86,144,51.74316,192.698016189,0.249225975,0.217329126,0.286438965
87,152,51.74316,157.39665375,0.238135565,0.153323785,0.337082642
88,160,51.74316,165.067021086,0.222576513,0.142753834,0.315702972
89,168,51.74316,127.33333333,0.19196761,0.121241783,0.274481074
90,176,51.74316,228.172481597,0.183481749,0.10872415,0.270698948
91,-176,40.03754,99.963146076,0.28341174,0.02244898,0.587868294
92,-168,40.03754,100.802292664,0.286636684,0.02244898,0.594855672
93,-160,40.03754,94.9396892318,0.269339965,0.02244898,0.557379448
94,-152,40.03754,96.1900760964,0.27767429,0.036734694,0.558770486
95,-144,40.03754,93.3801284534,0.267364709,0.036734694,0.536433059
96,-136,40.03754,94.4441723827,0.279060981,0.036734694,0.561774984
97,-128,40.03754,323.988278566,0.369912739,0.171937827,0.600883469
98,-120,40.03754,404.983967476,0.332686398,0.189175308,0.500116003
103,-80,40.03754,424.512651402,0.309327798,0.09479807,0.559612479
104,-72,40.03754,764.27472523,0.463362897,0.212336432,0.756227106
105,-64,40.03754,726.36559143,0.446071715,0.169270112,0.769006919
106,-56,40.03754,301.477763397,0.369943063,0.107513111,0.67611134
107,-48,40.03754,106.693622718,0.284687278,0.027276295,0.585000091
108,-40,40.03754,96.0992698557,0.261041828,0.017700157,0.544940444
109,-32,40.03754,220.22568195,0.328535902,0.049084871,0.654562105
110,-24,40.03754,305.1505122,0.341549219,0.049433422,0.682350982
111,-16,40.03754,119.94885202,0.327966395,0.042229199,0.661326456
112,-8,40.03754,316.0709821,0.450174828,0.223951055,0.714102564
113,0,40.03754,285.070248619,0.375347002,0.228301896,0.546899625
114,8,40.03754,329.816487022,0.311905492,0.210794672,0.429868114
115,16,40.03754,276.735025583,0.311744747,0.211577809,0.428606175
116,24,40.03754,305.77216312,0.289945478,0.192750123,0.403340059
128,120,40.03754,598.671640159,0.212526311,0.170073506,0.262054584
129,128,40.03754,681.811479533,0.434284937,0.316612471,0.571569481
130,136,40.03754,764.493000988,0.579306501,0.429759647,0.75377783
131,144,40.03754,518.227944943,0.520338956,0.319864719,0.754225566
132,152,40.03754,241.918828632,0.363757357,0.119809215,0.648363523
133,160,40.03754,108.701160246,0.29901025,0.023822606,0.620062501
134,168,40.03754,106.658878914,0.286794072,0.027943485,0.588786424
135,176,40.03754,94.9782303745,0.264336199,0.02244898,0.546537954
136,-176,30.1738,389.1561072,0.297257599,0.05921409,0.574975025
137,-168,30.1738,324.946841605,0.304798646,0.047574076,0.604893978
138,-160,30.1738,106.541978865,0.301794413,0.012244898,0.63960218
139,-152,30.1738,109.548393388,0.312407956,0.012244898,0.662598189
