LATITUDE,LONGITUDE,PLASTIC,BIODIVERSITY
18.16,-155.98,8.16,0.372287706
19.24,-155.18,7.52,0.372287706
19.7,-154.34,35.89,0.372287706
19.85,-154.44,31.06,0.372287706
19.92,-154.69,151.42000000000004,0.372287706
19.07,-155.45,51.36,0.372287706
19.01,-155.57,162.79,0.372287706
19.34,-156.09,603.91,0.396051413
19.9,-156.0,1.27,0.372287706
19.29,-156.05,5.1400000000000015,0.396051413
21.65,-160.54,78.09,0.396051413
21.65,-160.55,3.98,0.396051413
22.01,-160.88,44.40000000000001,0.396051413
22.1,-160.97,191.44,0.396051413
22.96,-161.91,611.5999999999998,0.396051413
23.57,-164.48,39.35,0.333262331
30.12,-165.41,275.58000000000004,0.304798646
30.99,-165.43,321.63,0.304798646
32.01,-165.4,515.54,0.304798646
32.24,-165.91,1608.29,0.304798646
33.03,-167.59,7858.9299999999985,0.304798646
33.01,-167.92,1222.3000000000004,0.304798646
33.01,-168.14,484.67,0.304798646
32.84,-170.07,3181.93,0.304798646
32.56,-169.7,225.48,0.304798646
32.26,-167.99,1171.5099999999998,0.304798646
32.55,-165.81,1250.11,0.304798646
32.47,-166.11,405.48,0.304798646
33.28,-165.0,429.55,0.304798646
33.76,-162.72,1804.24,0.301794413
33.76,-160.42,460.35,0.301794413
34.51,-157.85,983.44,0.301794413
36.16,-157.56,581.25,0.269339965
35.69,-147.67,1734.26,0.267364709
35.88,-132.57,88.85999999999999,0.27906098100000004
35.76,-138.51,865.42,0.27906098100000004
35.76,-138.77,1116.36,0.27906098100000004
35.89,-139.4,17081.16,0.27906098100000004
35.97,-139.82,710.38,0.27906098100000004
36.04,-140.33,1037.1999999999996,0.267364709
36.08,-140.79,1736.25,0.267364709
35.84,-140.82,5474.62,0.267364709
35.38,-141.02,1606.34,0.267364709
35.0,-141.45,2741.91,0.288488363
35.91,-141.78,2539.74,0.267364709
34.68,-142.08,10944.81,0.288488363
25.11,-128.11,42.67,0.29136709
24.22,-128.35,5.719999999999999,0.29136709
23.57,-130.37,17.41,0.29136709
24.6,-146.39,28.45,0.29921579800000003
24.54,-146.48,117.16,0.29921579800000003
24.41,-146.67,49.44000000000001,0.29921579800000003
24.36,-146.77,6.03,0.29921579800000003
23.57,-160.42,34.05,0.396051413
29.3,-162.05,667.49,0.301794413
29.77,-162.63,593.95,0.301794413
30.54,-163.23,321.17,0.301794413
31.31,-163.99,1804.87,0.301794413
31.61,-164.25,1117.24,0.304798646
32.74,-165.24,1867.14,0.304798646
34.37,-169.18,150.03,0.304798646
34.39,-170.02,816.46,0.304798646
35.06,-171.64,760.39,0.286636684
35.0,-171.74,563.55,0.304798646
35.0,-171.82,8349.789999999999,0.304798646
35.0,-171.93,407.64,0.304798646
34.59,-172.95,300.11,0.297257599
34.54,-176.4,1314.69,0.297257599
34.49,-176.44,6077.009999999998,0.297257599
34.47,-176.46,699.5,0.297257599
34.45,-176.48,114.28,0.297257599
34.43,-176.49,9921.66,0.297257599
34.01,-179.99,34.739999999999995,0.297257599
34.05,-179.99,385.38,0.297257599
34.15,-179.99,24.880000000000006,0.297257599
34.16,-179.99,1000.73,0.297257599
34.51,-179.86,40.04,0.297257599
35.1,-179.93,70.94,0.28341174
35.38,-179.89,102.31,0.28341174
35.41,-179.87,48.46,0.28341174
36.1,-179.59,213.12,0.28341174
36.48,-179.35,89.58,0.28341174
37.85,-179.38,46.69000000000001,0.28341174
39.3,-179.75,115.81,0.28341174
39.31,-179.74,324.03,0.28341174
40.31,-178.91,112.93,0.28341174
40.49,-178.71,125.53,0.28341174
25.63,-158.98,47.91,0.396051413
28.01,-160.31,426.2,0.301794413
26.65,-160.3,187.33,0.301794413
31.16,-160.24,587.95,0.301794413
31.15,-160.1,2939.7200000000007,0.301794413
31.15,-159.98,457.66,0.301794413
30.81,-158.69,284.09,0.301794413
31.31,-158.73,13.21,0.301794413
32.01,-159.01,708.26,0.301794413
32.5,-159.92,321.48,0.301794413
32.55,-159.96,5955.25,0.301794413
33.14,-159.25,254.42,0.301794413
33.18,-159.23,3564.85,0.301794413
34.29,-144.35,6224.86,0.288488363
34.37,-143.71,8645.26,0.288488363
34.67,-142.08,2124.78,0.288488363
34.93,-141.9,1258.43,0.288488363
35.01,-141.43,7415.86,0.288488363
35.38,-141.02,5832.8200000000015,0.267364709
35.84,-140.82,5838.18,0.267364709
36.07,-140.83,10145.36,0.267364709
36.04,-140.32,3029.600000000001,0.267364709
36.01,-140.15,8748.59,0.267364709
35.98,-139.99,12479.85,0.27906098100000004
35.93,-139.77,8887.779999999999,0.27906098100000004
35.69,-139.2,1971.81,0.27906098100000004
34.65,-142.29,3786.22,0.288488363
31.54,-156.86,904.42,0.301794413
32.2,-156.83,472.31,0.301794413
39.12,-156.92,6160.25,0.269339965
40.2,-156.71,195.37,0.269339965
41.04,-156.24,306.42,0.269339965
41.32,-155.71,333.09,0.27767429
41.34,-155.73,63.33,0.27767429
41.28,-154.25,464.66,0.27767429
40.55,-151.54,21554.82,0.27767429
40.51,-150.16,62.47,0.27767429
40.4,-148.05,46.73,0.27767429
40.24,-146.27,11.67,0.267364709
40.09,-144.45,26.51,0.267364709
40.37,-140.93,33.59,0.267364709
42.06,-137.54,32.56,0.27906098100000004
43.7,-134.58,10.53,0.27906098100000004
14.55,160.72,48.69000000000001,0.386916288
15.22,159.9,33.83,0.386916288
15.79,159.21,0.36,0.386916288
