LATITUDE,LONGITUDE,TOTAL__G_KM_
34.37,-169.18,150.03
34.39,-170.02,816.46
35.06,-171.64,760.39
35.0,-171.74,563.55
35.0,-171.82,8349.789999999999
35.0,-171.93,407.64
34.59,-172.95,300.11
34.54,-176.4,1314.69
34.49,-176.44,6077.009999999999
34.47,-176.46,699.5
34.45,-176.48,114.28
34.43,-176.49,9921.66
34.01,-179.99,34.739999999999995
34.05,-179.99,385.38
34.15,-179.99,24.880000000000003
34.16,-179.99,1000.73
34.51,-179.86,40.04
35.1,-179.93,70.94
35.38,-179.89,102.31
35.41,-179.87,48.46
36.1,-179.59,213.12
36.48,-179.35,89.58
37.85,-179.38,46.690000000000005
39.3,-179.75,115.81
39.31,-179.74,324.03
40.31,-178.91,112.92999999999999
40.49,-178.71,125.53
25.63,-158.98,47.91
28.01,-160.31,426.2
26.65,-160.3,187.32999999999998
31.16,-160.24,587.95
31.15,-160.1,2939.7200000000003
31.15,-159.98,457.65999999999997
30.81,-158.69,284.09
31.31,-158.73,13.21
32.01,-159.01,708.26
32.5,-159.92,321.48
32.55,-159.96,5955.25
33.14,-159.25,254.42
33.18,-159.23,3564.85
34.29,-144.35,6224.86
34.37,-143.71,8645.26
34.67,-142.08,2124.7799999999997
34.93,-141.9,1258.43
35.01,-141.43,7415.86
35.38,-141.02,5832.820000000001
35.84,-140.82,5838.18
36.07,-140.83,10145.36
36.04,-140.32,3029.6000000000004
36.01,-140.15,8748.59
35.98,-139.99,12479.85
35.93,-139.77,8887.779999999999
35.69,-139.2,1971.81
34.65,-142.29,3786.2200000000003
31.54,-156.86,904.42
32.2,-156.83,472.31
39.12,-156.92,6160.25
40.2,-156.71,195.37
41.04,-156.24,306.41999999999996
41.32,-155.71,333.09
41.34,-155.73,63.33
41.28,-154.25,464.65999999999997
40.55,-151.54,21554.82
40.51,-150.16,62.47
40.4,-148.05,46.730000000000004
40.24,-146.27,11.67
40.09,-144.45,26.509999999999998
40.37,-140.93,33.59
42.06,-137.54,32.56
43.7,-134.58,10.53
14.55,160.72,48.690000000000005
15.22,159.9,33.83
15.79,159.21,0.36
16.45,158.56,3.29
17.49,157.54,18.89
17.96,157.08,188.26
32.81,156.5,21.62
19.43,156.14,49.129999999999995
19.66,155.11,5.630000000000001
20.51,155.18,33.059999999999995
21.58,155.34,7.909999999999999
22.46,155.3,50.629999999999995
23.41,155.23,137.1
24.29,155.09,177.3
25.1,154.16,51.6
25.71,153.24,378.64000000000004
26.35,152.3,174.18
27.08,151.36,197.21
27.85,150.26,2131.7700000000004
28.56,149.3,63.05
29.73,148.05,198.39999999999998
33.26,151.18,83.19
32.09,153.17,83.28
31.27,155.32,324.53999999999996
30.73,157.77,247.87
30.19,160.4,92.38
30.44,163.32,46.14
30.5,166.08,89.15
30.08,168.13,347.29
29.2,169.83,80.03
29.41,172.01,365.77
28.48,175.32,701.31
30.28,-176.83,84.1
31.13,-174.3,1985.1
-33.13,-81.24,0.33
-33.11,-82.39,0.0
-33.02,-83.42,0.0
-32.91,-84.49,2.73
-32.8,-86.24,10.63
-32.73,-86.38,1.48
-32.57,-87.42,1.17
-32.38,-88.11,77.96
-32.21,-89.43,3.2800000000000002
-31.98,-90.41,8.84
-31.81,-91.34,1.02
-31.58,-92.34,30.66
-31.39,-93.35,25.28
-31.17,-94.32,13.6
-30.95,-95.35,10.2
-30.57,-96.2,46.56
-30.24,-97.09,69.98
-29.9,-97.93,97.72
-29.56,-98.81,105.03999999999999
-29.34,-99.8,81.4
-29.19,-100.74,308.04
-29.05,-101.73,730.83
-28.89,-102.58,219.55
-28.73,-103.55,84.42999999999999
-28.58,-104.4,170.17999999999998
-28.33,-105.33,184.87
-28.19,-106.31,88.91
-27.88,-107.25,38.57
-27.55,-108.05,375.02
-27.28,-108.94,206.07
-27.02,-110.98,154.6
-26.87,-111.91,110.63
-26.7,-112.87,18.33
-26.6,-113.86,4.6899999999999995
-26.54,-114.83,2.43
-26.33,-115.74,8.44
-26.24,-116.68,20.58
-26.16,-117.58,27.259999999999998
-26.07,-118.51,2.99
-26.04,-119.43,4.739999999999999
-25.95,-120.43,18.41
-25.86,-121.34,1.01
-25.55,-122.2,1.38
-25.27,-123.25,1.8699999999999999
-24.97,-123.94,4.050000000000001
-24.65,-124.79,12.940000000000001
-24.58,-125.73,13.790000000000001
-24.5,-126.62,3.48
-26.55,106.87,9.39
-24.39,99.51,15.33
-24.49,98.11,7.239999999999999
-24.49,96.44,385.03999999999996
-24.02,94.82,46.849999999999994
-21.41,75.3,34.72
-21.27,72.15,82.94
-21.05,68.44,580.5500000000001
-20.68,64.94,7635.4400000000005
-20.25,61.67,110.15
43.68,7.7,0.0
43.77,8.03,0.0
44.17,8.99,0.0
44.29,9.2,0.0
43.88,9.34,0.0
43.2,9.0,0.0
42.89,10.23,0.0
42.84,10.28,0.0
42.98,9.32,0.0
42.73,9.03,0.0
42.87,8.26,0.0
42.86,8.32,0.0
42.8,8.42,0.0
42.76,8.47,0.0
42.73,8.51,0.0
42.69,8.57,0.0
42.65,8.61,0.0
42.62,8.66,0.0
42.6,8.72,0.0
42.82,8.36,0.0
43.25,8.07,0.0
43.55,8.63,0.0
43.45,8.36,0.0
43.08,6.38,0.0
43.0,6.37,0.0
43.06,5.88,0.0
43.32,5.19,0.0
43.32,5.2,0.0
43.32,5.17,0.0
43.3,5.25,0.0
43.26,4.94,0.0
43.01,4.4,0.0
42.81,3.93,0.0
42.53,3.13,0.0
42.46,3.3,0.0
42.33,3.48,0.0
42.25,3.65,0.0
42.24,8.52,0.0
42.32,8.58,0.0
43.57,7.39,0.0
-60.34,-60.53,56.58
-63.88,-56.09,28.91
-63.39,-56.8,1.24
-57.76,-67.0,0.55
-39.63,-76.98,0.27
-34.17,-73.09,0.96
-33.69,-72.0,6.71
14.56,160.75,0.0
14.56,160.75,0.0
15.79,159.2,0.0
15.79,159.2,0.0
17.49,157.54,0.0
19.31,156.22,0.0
22.05,155.42,5547.2
23.9,155.24,2516.53
23.9,155.24,1347.32
25.1,154.15,50242.43
26.36,152.28,27365.59
26.71,151.78,14993.25
27.79,150.35,5980.93
27.89,150.19,4269.14
27.89,150.19,8718.71
30.04,147.59,0.0
32.89,143.73,22273.71
32.98,143.43,5053.73
32.98,143.43,25112.77
32.16,152.46,117.77
32.04,153.19,1591.3
32.01,153.38,5137.52
32.04,153.21,11961.28
31.08,155.33,7096.95
30.58,156.11,21573.72
31.05,155.46,10073.41
30.41,157.51,719.62
30.4,158.02,2234.65
30.39,158.04,275.16
30.2,158.42,68584.08
30.12,158.55,2518.52
30.1,160.01,121648.92
30.14,160.53,24060.63
30.12,160.39,7026.2
30.19,161.34,3447.62
30.12,160.31,35332.32
30.26,163.04,6506.03
30.28,163.59,28986.22
30.29,164.22,38155.87
30.3,166.09,32510.55
30.34,166.22,13482.59
30.33,166.2,19526.08
30.42,166.46,42512.53
29.58,168.22,7079.45
29.53,168.35,3389.29
29.1,170.03,222.6
28.55,173.1,3165.81
29.01,172.49,5039.73
29.15,172.27,1694.73
29.11,170.31,56.76
28.34,175.11,1230.49
28.24,175.24,387.59
29.51,179.45,6288.81
30.01,-178.56,11386.79
30.04,-178.41,11706.23
30.22,-176.45,10595.21
30.25,-176.28,10471.3
30.29,-176.14,68099.52
30.34,-175.52,1291.78
31.1,-174.14,11305.9
31.15,-174.04,3051.81
31.26,-173.47,14286.82
31.38,-173.27,21109.21
30.3,-173.04,8064.22
30.55,-172.37,12605.35
31.03,-172.27,5125.96
30.83,-146.9,40130.15
33.54,-144.92,20252.1
36.25,-142.93,50315.89
36.45,-137.17,19616.64
25.67,-158.03,4284.53
28.37,-157.35,3867.61
33.65,-155.17,4198.36
34.93,-151.12,16169.93
36.12,-147.03,34712.57
37.48,-142.1,6109.85
37.85,-138.0,277.21
27.57,-154.2,98.82
29.73,-150.62,4750.31
31.07,-148.8,8854.48
32.57,-147.42,3879.38
34.43,-145.82,3546.05
36.5,-144.9,7447.62
37.97,-143.48,4459.81
27.57,-157.38,89.44
30.95,-157.35,694.34
33.4,-156.93,4463.17
34.5,-153.25,2189.57
35.42,-149.88,4397.28
36.0,-146.33,2131.34
36.5,-142.08,1794.93
37.17,-138.92,1009.66
37.15,-138.9,24.56
36.27,-148.54,34438.77
35.62,-139.9,4551.01
35.4,-136.77,2255.39
22.42,-159.52,26.42
24.67,-159.47,0.0
27.49,-158.3,315.54
32.35,-157.6,4870.07
33.95,-155.83,8941.12
35.87,-152.53,9651.0
37.07,-148.65,5246.81
36.13,-142.15,108840.82
35.55,-139.44,4800.05
34.81,-136.82,549.35
34.59,-133.74,832.35
34.74,-131.54,25.08
34.67,-129.16,1058.45
31.64,-158.02,0.0
33.12,-158.15,68.6
33.68,-158.05,1216.62
34.05,-157.98,2581.77
35.57,-157.58,1333.22
35.42,-157.4,381.87
34.43,-155.89,651.23
33.89,-155.53,0.0
33.27,-154.5,5747.89
33.37,-154.25,13037.53
32.36,-152.8,17516.89
32.32,-151.37,80.03
33.88,-148.68,151.35
34.9,-147.23,0.0
35.73,-146.02,6123.69
35.59,-141.49,0.0
35.12,-153.17,10339.38
37.27,-151.9,246.07
36.98,-150.82,900.48
36.9,-149.3,6837.65
37.17,-146.08,4295.55
34.23,-162.16,1546.89
40.19,-162.36,6321.8
41.88,-161.36,4365.36
44.14,-158.78,0.0
27.23,-156.28,27660.01
29.05,-155.37,51093.23
30.8,-153.15,24194.55
32.7,-151.02,27406.77
37.77,-144.63,0.0
38.22,-142.48,5387.87
33.37,-154.73,416.76
33.52,-154.88,10103.05
35.22,-153.27,14958.41
35.22,-153.27,13387.19
36.1,-151.78,104042.16
32.33,-155.93,113.34
31.6,-157.43,2176.74
36.22,-151.5,14718.12
37.18,-148.6,12096.02
23.25,-157.98,0.0
27.12,-157.08,0.0
29.65,-156.08,406.65
29.65,-156.08,14456.08
33.9,-155.08,316.72
33.9,-155.08,457.91
35.45,-154.52,12743.88
37.73,-150.95,202.53
41.43,-145.03,290.29
