Code,latitude,longitude,name,Per capita plastic waste (kg/person/day)
PAK,30.375321,69.345116,Pakistan,0.103
PLW,7.51498,134.58252,Palau,0.144
PSE,31.952162,35.233154,Palestinian Territories,0.063
PAN,8.537981,-80.782127,Panama,0.145
PNG,-6.314993,143.95555,Papua New Guinea,0.103
PER,-9.189967,-75.015152,Peru,0.144
PHL,12.879721,121.774017,Philippines,0.075
POL,51.919438,19.145136,Poland,0.097
PRT,39.399872,-8.224454,Portugal,0.265
PRI,18.220833,-66.590149,Puerto Rico,0.252
QAT,25.354826,51.183884,Qatar,0.16
REU,-21.115141,55.536384,Réunion,0.144
ROU,45.943161,24.96676,Romania,0.042
RUS,61.52401,105.318756,Russia,0.112
SHN,-24.143474,-10.030696,Saint Helena,0.144
KNA,17.357822,-62.782998,Saint Kitts and Nevis,0.654
LCA,13.909444,-60.978893,Saint Lucia,0.522
SPM,46.941936,-56.27111,Saint Pierre and Miquelon,0.252
VCT,12.984305,-61.287228,Saint Vincent and the Grenadines,0.221
WSM,-13.759029,-172.104629,Samoa,0.103
STP,0.18636,6.613081,São Tomé and Príncipe,0.103
SAU,23.885942,45.079162,Saudi Arabia,0.156
SEN,14.497401,-14.452362,Senegal,0.103
SYC,-4.679574,55.491977,Seychelles,0.358
SLE,8.460555,-11.779889,Sierra Leone,0.041
SGP,1.352083,103.819836,Singapore,0.194
SXM,18.0347188, -63.0681114,Sint Maarten (Dutch part),0.252
SVN,46.151241,14.995463,Slovenia,0.145
SLB,-9.64571,160.156194,Solomon Islands,0.103
SOM,5.152149,46.199616,Somalia,0.054
ZAF,-30.559482,22.937506,South Africa,0.24
KOR,35.907757,127.766922,South Korea,0.112
ESP,40.463667,-3.74922,Spain,0.277
LKA,7.873054,80.771797,Sri Lanka,0.357
SDN,12.862807,30.217636,Sudan,0.103
SUR,3.919305,-56.027783,Suriname,0.163
SWE,60.128161,18.643501,Sweden,0.048
SYR,34.802075,38.996815,Syria,0.178
TWN,23.69781,120.960515,Taiwan,0.252
TZA,-6.369028,34.888822,Tanzania,0.023
THA,15.870032,100.992541,Thailand,0.144
TGO,8.619543,0.824782,Togo,0.057
TKL,-8.967363,-171.855881,Tokelau,0.103
TON,-21.178986,-175.198242,Tonga,0.223
TTO,10.691803,-61.222503,Trinidad and Tobago,0.29
TUN,33.886917,9.537499,Tunisia,0.144
TUR,38.963745,35.243322,Turkey,0.212
TCA,21.694025,-71.797928,Turks and Caicos Islands,0.252
TUV,-7.109535,177.64933,Tuvalu,0.144
UKR,48.379433,31.16558,Ukraine,0.103
ARE,23.424076,53.847818,United Arab Emirates,0.199
GBR,55.378051,-3.435973,United Kingdom,0.215
USA,37.09024,-95.712891,United States,0.335
URY,-32.522779,-55.765835,Uruguay,0.252
VUT,-15.376706,166.959158,Vanuatu,0.295
VEN,6.42375,-66.58973,Venezuela,0.252
VNM,14.058324,108.277199,Vietnam,0.103
YEM,15.552727,48.516388,Yemen,0.103
